Date,Open,High,Low,Close,Adj Close,Volume
2021-06-04,139.059998,139.880005,138.779999,139.880005,139.880005,234400
2021-06-07,140.789993,141.270004,140.580002,140.910004,140.910004,279800
2021-06-08,142.729996,142.850006,141.259995,141.669998,141.669998,545300
2021-06-09,140.639999,141.309998,139.839996,139.970001,139.970001,486800
2021-06-10,140.210007,142.000000,139.949997,141.949997,141.949997,505800
2021-06-11,142.289993,143.559998,142.240005,143.509995,143.509995,409200
2021-06-14,145.000000,145.960007,144.550003,145.839996,145.839996,611700
2021-06-15,146.199997,146.289993,143.759995,144.220001,144.220001,880200
2021-06-16,144.729996,145.149994,141.970001,142.520004,142.520004,615800
2021-06-17,140.639999,142.350006,140.600006,141.809998,141.809998,426500
2021-06-18,140.710007,140.970001,139.630005,140.179993,140.179993,847100
2021-06-21,140.820007,141.050003,139.699997,140.779999,140.779999,730500
2021-06-22,140.050003,141.360001,139.740005,141.240005,141.240005,584100
2021-06-23,140.860001,141.160004,138.610001,138.710007,138.710007,472200
2021-06-24,141.660004,142.350006,140.990005,141.229996,141.229996,707800
2021-06-25,140.940002,141.119995,140.029999,140.360001,140.360001,326800
2021-06-28,141.419998,141.809998,140.850006,141.470001,141.470001,406400
2021-06-29,142.880005,143.089996,142.259995,142.830002,142.830002,331900
2021-06-30,141.520004,141.949997,140.119995,140.460007,140.460007,421800
2021-07-01,140.080002,140.960007,139.770004,140.509995,140.509995,413300
2021-07-02,140.839996,141.770004,140.630005,141.720001,141.720001,256500
2021-07-06,142.550003,143.000000,141.059998,141.710007,141.710007,427800
2021-07-07,147.690002,147.809998,145.720001,147.690002,147.690002,927000
2021-07-08,144.440002,146.679993,144.339996,146.110001,146.110001,966200
2021-07-09,146.529999,148.279999,146.259995,148.110001,148.110001,503800
2021-07-12,148.380005,149.589996,147.869995,148.960007,148.960007,589100
2021-07-13,148.770004,150.600006,148.740005,149.600006,149.600006,611300
2021-07-14,150.179993,150.630005,149.119995,150.199997,150.199997,547100
2021-07-15,148.320007,148.789993,147.330002,147.690002,147.690002,435000
2021-07-16,148.610001,148.800003,147.350006,147.649994,147.649994,393200
2021-07-19,144.830002,145.380005,144.199997,144.809998,144.809998,587100
2021-07-20,142.649994,144.539993,142.520004,144.100006,144.100006,1081400
2021-07-21,136.330002,140.190002,136.089996,138.860001,138.860001,2498800
2021-07-22,138.389999,140.270004,138.389999,139.330002,139.330002,848000
2021-07-23,140.009995,140.059998,138.039993,138.770004,138.770004,821700
2021-07-26,139.089996,139.339996,138.259995,138.660004,138.660004,685800
2021-07-27,141.649994,141.770004,140.050003,141.419998,141.419998,829700
2021-07-28,141.660004,143.330002,141.220001,142.970001,142.970001,642900
2021-07-29,143.649994,144.649994,143.630005,144.339996,144.339996,499000
2021-07-30,143.320007,144.169998,143.080002,143.720001,143.720001,709400
2021-08-02,143.050003,144.610001,142.750000,143.320007,143.320007,382800
2021-08-03,144.509995,145.559998,143.960007,145.539993,145.539993,742400
2021-08-04,145.880005,147.050003,145.630005,146.389999,146.389999,1003100
2021-08-05,148.529999,149.300003,148.449997,148.940002,148.940002,574200
2021-08-06,146.960007,147.539993,146.360001,146.369995,146.369995,490300
2021-08-09,146.399994,146.690002,146.000000,146.559998,146.559998,480600
2021-08-10,147.259995,147.490005,145.139999,145.750000,145.750000,390400
2021-08-11,146.449997,146.630005,144.979996,145.240005,145.240005,359500
2021-08-12,146.419998,147.889999,145.830002,147.750000,147.750000,375600
2021-08-13,147.770004,148.339996,147.440002,148.300003,148.300003,221400
2021-08-16,147.449997,148.470001,147.070007,147.929993,147.929993,644100
2021-08-17,147.800003,148.990005,147.660004,148.919998,148.919998,497000
2021-08-18,148.710007,149.059998,147.520004,147.580002,147.580002,317200
2021-08-19,145.559998,147.619995,145.550003,147.020004,147.020004,543100
2021-08-20,147.429993,147.970001,147.149994,147.839996,147.839996,305900
2021-08-23,147.729996,149.080002,147.179993,148.949997,148.949997,259300
2021-08-24,147.850006,148.690002,147.600006,148.229996,148.229996,290100
2021-08-25,147.429993,147.690002,146.839996,146.979996,146.979996,358300
2021-08-26,147.259995,147.750000,146.860001,147.130005,147.130005,261100
2021-08-27,147.550003,149.059998,147.429993,148.720001,148.720001,338100
2021-08-30,148.789993,149.940002,148.539993,149.880005,149.880005,291000
2021-08-31,150.360001,150.750000,149.309998,150.139999,150.139999,451000
2021-09-01,150.779999,151.479996,150.080002,150.110001,150.110001,363500
2021-09-02,149.570007,149.669998,148.860001,148.979996,148.979996,211500
2021-09-03,148.160004,150.000000,147.720001,149.830002,149.830002,479200
2021-09-07,150.720001,150.910004,149.610001,149.619995,149.619995,383300
2021-09-08,147.259995,147.789993,146.630005,146.729996,146.729996,544800
2021-09-09,146.520004,147.000000,145.470001,145.679993,145.679993,345700
2021-09-10,146.669998,146.960007,144.960007,145.070007,145.070007,434400
2021-09-13,145.929993,146.100006,144.679993,145.270004,145.270004,542100
2021-09-14,145.089996,145.539993,144.470001,145.149994,145.149994,1336300
2021-09-15,145.550003,145.679993,143.300003,144.250000,144.250000,735800
